City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,kitimat,54.0524,-128.6534,8.28,70,100,0.45,CA,1730667321
176,jianshui,23.6363,102.8264,15.62,90,49,2.24,CN,1730667322
177,le port,-20.9373,55.2919,23.01,88,31,1.7,RE,1730667323
178,zugdidi,42.5088,41.8709,8.13,82,100,1.28,GE,1730667324
179,saldanha,-33.0117,17.9442,15.03,74,100,8.01,ZA,1730667325
180,namibe,-15.1961,12.1522,19.74,82,84,1.63,AO,1730667327
181,lebu,-37.6167,-73.65,10.03,94,100,1.46,CL,1730667329
182,rawson,-43.3002,-65.1023,24.16,23,0,10.8,AR,1730667330
183,corner brook,48.9667,-57.9484,1.0,68,93,3.62,CA,1730667331
184,essaouira,31.5125,-9.77,18.72,88,0,1.54,MA,1730667333
185,byron bay,-28.65,153.6167,22.24,79,62,5.21,AU,1730667335
186,college,64.8569,-147.8028,-4.5,78,75,2.06,US,1730667091
187,solleftea,63.1667,17.2667,0.92,81,57,3.43,SE,1730667337
188,vernon,50.2581,-119.2691,6.53,87,86,1.03,CA,1730667103
189,ola,59.5833,151.2833,-11.72,73,64,5.48,RU,1730667339
190,saint-joseph,-21.3667,55.6167,23.21,87,26,2.6,RE,1730667341
191,nuuk,64.1835,-51.7216,-3.66,80,75,3.6,GL,1730667046
192,bude,50.8243,-4.5413,11.56,85,16,0.89,GB,1730667344
193,celikhan,38.0342,38.2433,8.04,49,33,2.72,TR,1730667345
194,lame,10.4415,9.2396,20.56,36,30,0.98,NG,1730667346
195,tarfaya,27.9358,-12.9218,20.33,73,100,2.39,MA,1730667347
196,touros,-5.1989,-35.4608,25.22,74,88,6.81,BR,1730667349
197,egilsstadir,65.2653,-14.3948,9.95,71,0,6.69,IS,1730667350
198,neryungri,56.6709,124.6491,-15.6,99,99,0.82,RU,1730667351
199,mount gambier,-37.8333,140.7667,11.55,84,63,1.78,AU,1730667352
200,valdivia,-39.8142,-73.2459,11.05,98,100,2.91,CL,1730667353
201,keflavik,64.0049,-22.5624,10.24,100,100,11.83,IS,1730667354
202,east london,-33.0153,27.9116,19.43,85,100,3.15,ZA,1730667355
203,puerto aysen,-45.4,-72.7,5.7,100,100,2.01,CL,1730667357
204,flin flon,54.7682,-101.865,3.91,93,100,3.6,CA,1730667358
205,tolanaro,-25.0319,46.9987,23.73,86,7,5.88,MG,1730667359
206,maicao,11.3832,-72.2432,25.53,89,100,2.41,CO,1730667360
207,urengoy,65.9667,78.3667,0.39,94,100,9.57,RU,1730667361
208,tafuna,-14.3358,-170.72,30.97,74,40,5.66,AS,1730667363
209,bonthe,7.5264,-12.505,26.44,85,54,2.42,SL,1730667364
210,ilulissat,69.2167,-51.1,-2.99,63,75,8.23,GL,1730667365
211,saint-louis,16.3333,-15.0,33.29,17,64,5.02,SN,1730667366
212,hadibu,12.65,54.0333,26.41,78,22,1.77,YE,1730667367
213,hilo,19.7297,-155.09,28.4,74,75,1.79,US,1730667174
214,tobruk,32.0836,23.9764,20.51,69,0,5.36,LY,1730667371
215,sakaiminato,35.55,133.2333,9.99,100,20,1.54,JP,1730667373
216,saint-philippe,-21.3585,55.7679,23.13,88,41,3.58,RE,1730667375
217,arteche,12.2645,125.4048,25.14,91,100,1.7,PH,1730667376
218,al jawf,29.5,38.75,17.64,44,0,1.65,SA,1730667379
219,harper,4.375,-7.7169,25.61,86,1,2.88,LR,1730667380
220,prince rupert,54.3161,-130.3201,8.83,81,100,7.72,CA,1730667302
221,aldan,58.6031,125.3894,-14.1,97,100,1.4,RU,1730667382
222,george town,5.4112,100.3354,26.97,83,20,2.24,MY,1730667383
223,kidal,18.4411,1.4078,26.79,16,8,4.2,ML,1730667384
224,ketchikan,55.3422,-131.6461,8.26,87,100,3.09,US,1730667386
225,atasu,48.6814,71.6433,9.49,58,97,5.29,KZ,1730667387
226,bardai,11.65,7.2333,21.31,25,9,3.73,NG,1730667388
227,sivrice,38.4482,39.3084,6.56,66,0,2.57,TR,1730667390
228,caleta de carquin,-11.0925,-77.6267,20.43,78,36,5.35,PE,1730667391
229,black point,-34.6187,137.8972,14.32,70,6,2.0,AU,1730667393
230,nova sintra,14.8667,-24.7167,25.99,79,74,9.9,CV,1730667394
231,mazagao,-0.115,-51.2894,29.11,65,27,3.89,BR,1730667395
232,richards bay,-28.783,32.0377,22.71,88,100,4.07,ZA,1730667396
233,saipan,15.1355,145.701,25.39,94,20,3.09,MP,1730667397
234,pangoa,-12.1167,-73.0,27.26,66,98,1.57,PE,1730667398
235,hamilton,39.1834,-84.5333,23.47,54,0,4.12,US,1730667399
236,privolzhsk,57.3808,41.2886,-1.69,93,100,2.7,RU,1730667401
237,island harbour,50.724,-1.2758,12.22,64,59,2.68,GB,1730667403
238,udachny,66.4167,112.4,-29.24,100,78,1.83,RU,1730667404
239,iskateley,67.6803,53.1512,-2.89,86,100,5.93,RU,1730667405
240,afaahiti,-17.75,-149.2833,24.64,66,10,1.86,PF,1730667406
241,belyy yar,53.6039,91.3903,-2.06,93,99,2.0,RU,1730667408
242,bamboo flat,11.7,92.7167,26.05,94,40,1.03,IN,1730667409
243,oodweyne,9.4092,45.064,21.48,44,7,2.61,SO,1730667410
244,qarauyl,48.9451,79.255,6.16,71,80,4.66,KZ,1730667411
245,bikenibeu village,1.3673,173.1241,28.98,79,40,0.0,KI,1730667412
246,olinda,-8.0089,-34.8553,26.85,69,40,5.14,BR,1730667413
247,severo-yeniseyskiy,60.3725,93.0408,-4.55,93,100,3.0,RU,1730667414
248,tralee,52.2704,-9.7026,12.53,79,100,2.21,IE,1730667416
249,vereshchagino,58.0789,54.6557,-2.89,81,100,6.0,RU,1730667417
250,yuzhno-kurilsk,44.0306,145.8556,5.95,84,95,3.18,RU,1730667418
251,novodvinsk,64.4165,40.8122,-3.14,94,43,3.24,RU,1730667419
252,ad dabbah,18.05,30.95,23.33,24,0,4.49,SD,1730667420
253,ingeniero jacobacci,-41.3427,-69.5448,10.66,55,100,13.03,AR,1730667421
254,puerto baquerizo moreno,-0.9,-89.6,24.55,65,40,5.14,EC,1730667423
255,waspan,14.7419,-83.9717,29.06,70,93,3.39,NI,1730667424
256,klyuchi,52.2667,79.1667,8.37,73,30,8.77,RU,1730667425
257,rio preto da eva,-2.6994,-59.6997,38.91,23,12,1.72,BR,1730667426
258,ironwood,46.4547,-90.171,8.45,61,100,5.66,US,1730667427
259,colchani,-20.3,-66.9333,18.68,15,2,3.85,BO,1730667429
260,pechora,65.1472,57.2244,-2.13,95,100,7.64,RU,1730667430
261,mar del plata,-38.0023,-57.5575,17.01,83,75,9.39,AR,1730667177
262,portland,45.5234,-122.6762,14.41,78,75,3.6,US,1730667103
263,ancud,-41.8697,-73.8203,10.36,81,10,7.3,CL,1730667434
264,intendente alvear,-35.2338,-63.592,19.74,56,100,1.83,AR,1730667435
265,yashkul',46.1711,45.3435,3.88,65,9,5.23,RU,1730667437
266,ulsteinvik,62.3432,5.8487,9.07,94,85,3.65,NO,1730667438
267,monrovia,6.3005,-10.7969,26.52,83,100,4.14,LR,1730667439
268,piti village,13.4626,144.6933,28.03,92,0,0.0,GU,1730667440
269,mul,20.0667,79.6667,20.8,72,48,0.85,IN,1730667441
270,abepura,-2.6333,140.5833,24.45,100,40,0.51,ID,1730667442
271,perryton,36.4,-100.8027,22.89,60,34,6.69,US,1730667443
272,meadow lake,34.8014,-106.5436,12.59,40,100,6.5,US,1730667445
273,batang,-6.4846,110.7083,26.71,82,100,2.02,ID,1730667446
274,uchiza,-8.4592,-76.4633,30.71,47,91,1.77,PE,1730667449
275,pullman,46.7313,-117.1796,8.25,75,100,4.92,US,1730667267
276,urangan,-25.3,152.9,22.16,78,11,2.38,AU,1730667452
277,fenoarivo be,-18.4333,46.5667,21.61,64,46,1.55,MG,1730667454
278,utrik,11.2278,169.8474,27.13,81,100,4.85,MH,1730667455
279,tepalcatepec,19.1833,-102.85,32.32,46,45,2.62,MX,1730667456
280,qusmuryn,52.4503,64.6311,1.52,60,100,3.76,KZ,1730667458
281,iwanai,42.9744,140.5089,5.76,89,95,5.13,JP,1730667459
282,st. john's,47.5649,-52.7093,3.42,70,75,4.12,CA,1730667460
